sNoEmplacement,nNoTroncon,longitude,latitude
H206,613,-73.565796,45.507708
H207,613,-73.565796,45.507708
H208,613,-73.565715,45.5078
H209,613,-73.565715,45.5078
H210,613,-73.565635,45.507892
H215,613,-73.565434,45.508122
H216,613,-73.565434,45.508122
H217,613,-73.565354,45.508214
H218,613,-73.565354,45.508214
H219,613,-73.565274,45.508306
H220,613,-73.565274,45.508306
H221,613,-73.565193,45.508398
H222,613,-73.565193,45.508398
H223,613,-73.565113,45.50849
H224,613,-73.565113,45.50849
H225,613,-73.565031,45.508582
H226,613,-73.565031,45.508582
H227,613,-73.564951,45.508674
H228,614,-73.564753,45.508898
H229,614,-73.564753,45.508898
H230,614,-73.564673,45.50899
H231,614,-73.564673,45.50899
H232,614,-73.564592,45.509082
H233,614,-73.564592,45.509082
H234,614,-73.564513,45.509174
H235,614,-73.564513,45.509174
H236,614,-73.564433,45.509267
H237,614,-73.564433,45.509267
H238,614,-73.564353,45.509359
H239,614,-73.564353,45.509359
H240,615,-73.564138,45.509606
H241,615,-73.564138,45.509606
H242,615,-73.564057,45.509697
H243,615,-73.564057,45.509697
H244,615,-73.563976,45.509789
H245,616,-73.563747,45.510052
H246,616,-73.563747,45.510052
H247,616,-73.563666,45.510144
H248,616,-73.563666,45.510144
H249,616,-73.563587,45.510236
H250,616,-73.563587,45.510236
H256,617,-73.56325,45.510633
H257,617,-73.56325,45.510633
H258,617,-73.563198,45.510737
H259,617,-73.563198,45.510737
H260,617,-73.563121,45.510829
H261,617,-73.563121,45.510829
H262,617,-73.563043,45.510913
H263,617,-73.562999,45.510963
H264,617,-73.562999,45.510963
H265,617,-73.562928,45.511042
H266,617,-73.562893,45.511082
H267,617,-73.562865,45.511114
H268,618,-73.562696,45.511273
H269,618,-73.562696,45.511273
H270,618,-73.562608,45.51137
H271,618,-73.56261,45.511371
H272,618,-73.562531,45.511461
H273,618,-73.562531,45.511461
H274,618,-73.562451,45.511553
H275,618,-73.562411,45.5116
H276,618,-73.562371,45.511646
H277,618,-73.562371,45.511646
H278,619,-73.562215,45.511869
H279,619,-73.562215,45.511869
H280,619,-73.562103,45.511951
H281,619,-73.562103,45.511951
H282,619,-73.562054,45.512059
H283,619,-73.562054,45.512059
H284,619,-73.561974,45.512148
H285,619,-73.561974,45.512148
H286,620,-73.561808,45.512328
H287,620,-73.561808,45.512328
H288,620,-73.561728,45.512416
H289,620,-73.561728,45.512416
H290,620,-73.561677,45.512478
H291,620,-73.561641,45.512521
H292,620,-73.561582,45.512589
H293,620,-73.561532,45.512648
H294,620,-73.561532,45.512648
H295,620,-73.561475,45.512714
H906,621,-73.561321,45.512929
H907,621,-73.561297,45.512955
H908,621,-73.561248,45.51301
H909,621,-73.561181,45.513095
H910,621,-73.561181,45.513095
H911,621,-73.561127,45.513156
H912,621,-73.561079,45.513211
H913,621,-73.56102,45.513279
H914,621,-73.56102,45.513279
H915,621,-73.56097,45.513337
H916,621,-73.560919,45.513394
H917,621,-73.560867,45.513453
H918,621,-73.560818,45.51351
H919,621,-73.560777,45.513556
H920,621,-73.560777,45.513556
H921,621,-73.560719,45.513623
H922,621,-73.560688,45.513658
K146,890,-73.566015,45.50327
K147,890,-73.566015,45.50327
K148,890,-73.565937,45.503363
K149,890,-73.565937,45.503363
K150,890,-73.56586,45.503456
K158,890,-73.565564,45.503814
K159,890,-73.565564,45.503814
K160,890,-73.565472,45.503918
K161,890,-73.565472,45.503918
K162,890,-73.565393,45.504022
K163,890,-73.565393,45.504022
F454,891,-73.566302,45.503534
F455,891,-73.566222,45.503641
F456,891,-73.566222,45.503641
F457,891,-73.566142,45.503747
F458,891,-73.566142,45.503747
F459,891,-73.566062,45.503851
F460,891,-73.566062,45.503851
F461,891,-73.56598,45.503957
F462,891,-73.56598,45.503957
F463,891,-73.565903,45.504056
F464,891,-73.565903,45.504056
F465,891,-73.565817,45.504162
F466,891,-73.565817,45.504162
F467,891,-73.565738,45.504264
F468,891,-73.565738,45.504264
K165,892,-73.565188,45.504318
K166,892,-73.565188,45.504318
K167,892,-73.565151,45.504365
K168,892,-73.565047,45.504456
K169,892,-73.565013,45.504503
K170,892,-73.565013,45.504503
K171,892,-73.564939,45.504597
K172,892,-73.564939,45.504597
K173,892,-73.564862,45.504691
K174,892,-73.564862,45.504691
K175,892,-73.564825,45.504737
K176,892,-73.564748,45.504834
K177,892,-73.564709,45.504881
K178,892,-73.564709,45.504881
K179,892,-73.564634,45.504978
K180,892,-73.564634,45.504978
F469,893,-73.565596,45.50445
F470,893,-73.565532,45.504531
F473,893,-73.565421,45.504661
F474,893,-73.565421,45.504661
F475,893,-73.565347,45.504755
F476,893,-73.565347,45.504755
F477,893,-73.565283,45.504835
F478,893,-73.565234,45.504897
F479,893,-73.565234,45.504897
F480,893,-73.56515,45.505001
F481,893,-73.56515,45.505001
F482,893,-73.565076,45.505096
F483,893,-73.565076,45.505096
F484,893,-73.565,45.50519
